,Shot rate,008.Filling  time [s],009. Plasticizing  time [s],000.Total  cycle time  [s],012.Min.melt  cushion [in],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],003. Clamping  force [kN],018. Change- over Melt  pressure  [bar],051.Shot  vol. before  injection [in],092.Peak  value  Holding  pressure  [psi],100.Melt  temperature  [F],111.Cooling  time [s],machine_id,order,datetime,filepath,group_id
82,90,5.42,22.42,96.56,0.82,2585.0,2586.0,10988.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
83,91,5.42,22.7,96.65,0.81,2593.0,2587.0,11007.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
84,92,5.42,22.82,96.61,0.81,2599.0,2595.0,11011.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
85,93,5.43,22.38,96.5,0.82,2616.0,2616.0,11002.0,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
86,94,5.43,22.78,96.44,0.82,2609.0,2605.0,11003.7,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
87,95,5.42,22.68,96.56,0.82,2598.0,2595.0,10993.3,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
88,96,5.42,22.89,96.61,0.82,2599.0,2596.0,11007.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
89,97,5.43,22.55,96.66,0.81,2616.0,2621.0,11014.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
90,98,5.42,22.6,96.61,0.82,2595.0,2592.0,11008.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
91,99,5.42,22.71,96.55,0.82,2592.0,2592.0,11008.4,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
